clust_HDDS,clust_HDDS_predict
4.6875,4.4085011
5.2352943,4.9820848
5.7199998,5.6814156
5.0952382,4.5902681
5.3125,4.6136227
5.4210525,4.968277
5.2608695,4.6090193
5.6500001,4.6347661
5.318182,4.3873792
5.125,4.9996448
4.9259257,4.8090301
4.0952382,4.393456
4.590909,4.6081672
5.1904764,4.619206
5.3888888,5.3517003
5.7142859,4.9763913
6.25,5.9462247
6,
5.181818,4.8627834
4.8499999,4.9628787
4.6500001,4.635581
5.6500001,4.886528
5.7272725,5.0329633
5.2631578,4.767427
6.1666665,5.1556306
5.3684211,4.9271007
5.8125,4.6988521
6.1578946,5.5536561
5.7058825,5.2793946
6.5,6.3630395
6.1052632,
5.6842103,5.5691342
5.0588236,4.8052716
4.9411764,4.6462364
4.5625,4.8197484
5.1111112,4.9003944
6.0555553,5.8640394
5.2777777,5.4178519
5.8095236,5.7583742
5.3333335,4.8278661
5.3125,4.5888419
5,4.5666633
5.6875,4.7388244
5.4705882,4.6081634
6.4375,5.7282624
6.0999999,6.0788741
5.6363635,5.5839391
5.6500001,5.1258106
5.826087,4.6909189
5.5652175,4.7831397
5.2173915,4.7727609
5.4444447,4.7090821
4.7777777,4.7251577
5.3888888,5.0490685
4.7777777,4.4346719
4.5999999,4.6195383
5.9130435,5.4830832
5.1666665,4.8637128
5.1666665,4.7554727
4.7333331,4.5984254
4.25,4.7542834
4.4000001,4.4234486
4.8499999,4.7090297
6.3157897,6.0742774
6.2142859,5.9274735
6.818182,6.6871696
6.409091,6.4616365
6.4210525,6.3576469
5.695652,5.3401165
6.8000002,7.92272
5.7083335,5.4423671
6.25,5.3743906
5.8125,5.3038001
4.8421054,4.6404996
4.9444447,4.6256976
4.8235292,4.4222574
5.2631578,4.7050786
5.2380953,4.4624872
4.7058825,4.2912636
6.4499998,5.9990239
6.3157897,5.2700109
5.7894735,4.876308
5.4210525,4.9329457
5.5714288,4.8333573
6,5.0667415
5.2222223,5.0022631
5.4285712,4.9551969
6.1904764,5.838778
5.4375,4.3047452
4.9444447,
5.4499998,4.6580911
5.25,5.1084161
4.7777777,4.8469963
5.8888888,5.2730265
6.352941,6.2020283
6.2631578,5.3584604
6.2727275,6.2030921
6.6315789,5.8315415
5.96,6.0621057
5.8499999,5.6210465
6.125,5.457139
5.625,4.685204
6.0454545,4.9429393
5.2941175,4.8543577
6.0526314,5.7287264
5.681818,5.0747323
5.352941,5.1651702
5.0625,5.0908971
5.1764708,4.9045405
5.8235292,4.6020808
5.6666665,4.8542843
5.25,4.3372097
5.4736843,4.7744474
6.8571429,7.3225589
5.9130435,4.8240318
5.5500002,4.7005811
5.3636365,4.5205736
5.4347825,4.4870272
5.2857141,4.5581789
6.1599998,6.0043278
6.0555553,5.483037
5.9000001,5.5170779
5.3000002,4.5282249
4.3684211,4.4461684
4.8000002,4.6267486
4.9523811,4.8196945
4.8571429,4.4982815
5.7391305,4.9000511
4.9629631,4.5601125
4.8823528,4.7101521
5,4.7808027
6.5,6.0730796
5.8499999,5.7323289
5.5,4.5607295
5.3684211,4.6394544
5.1999998,4.7275205
5.7142859,5.0711765
4.9523811,4.6773562
5.5714288,4.490963
5.4117646,4.7610669
5.090909,4.7365189
5.5714288,5.078661
6.3125,5.9791183
5.8888888,5.2888117
6.1052632,5.6238337
5.5625,4.558538
5.5500002,4.1423345
5.304348,4.2708955
5.7368422,4.8139701
5.4761906,4.7298541
5.4736843,4.9541173
5.5,4.9285402
6.1111112,5.4877157
6.3846154,6.4875212
5.9130435,5.531456
6,5.4463272
6.2105265,5.6655102
6.5714288,5.8856044
6.6666665,7.4444523
5.7272725,
4.9473686,
6.173913,
5.5625,
5.5263157,
5.2105265,
6.090909,
4.5,
5.8095236,
6.0555553,
6.0500002,
6.1428571,
5.9411764,
4.1578946,
5.3157897,
5.3000002,
5.0555553,
5.2105265,
5.6500001,
5.2941175,
4.625,
4.8636365,
4.3333335,
5.652174,
5.4705882,
6.6296296,
6.0999999,
5.647059,
5.7272725,
4.875,
5.5714288,
5.2272725,
5.4000001,
5.625,
5.5714288,
5.5263157,
5.8666668,
5.3333335,
5.125,
5.3888888,
6.2631578,
6.3333335,
6.409091,
6.5999999,
6.7894735,
