clust_RCSI,clust_RCSI_predict
12.3125,7.0891194
5.352941,3.6186113
5.0799999,5.7129993
4.2857141,6.4141011
.8125,3.3573942
10.842105,5.9287128
2.0869565,6.7994027
2.1500001,3.3066499
3.090909,4.5255198
2.25,4.3779998
2.8888888,3.5863349
8.2857141,5.2132225
7.0454545,5.6658878
3.3809524,7.087111
2.2222223,4.736166
3.8571429,5.2311435
4.1428571,3.0250201
6,
1.1363636,.60118496
4.1999998,6.7939
3.25,2.9301646
4.1999998,5.2875657
7.5454545,5.0718942
3.5263157,6.2666903
10.166667,6.8638368
4,5.8828745
8.5625,9.5421619
6.2105265,6.7922626
9.4705887,8.9764147
2.3181818,3.3133352
5.0526314,
8.2631578,5.164917
4.4705882,6.95784
3.8823528,6.6681871
6.125,7.4179311
3.6111112,5.0484815
2.0555556,2.3267817
4.8888888,6.0868001
1.7619047,2.5330212
.86666667,4.795589
1.25,3.9370708
.2631579,4.8279996
.8125,3.7652855
2.5294118,3.4472508
.625,4.8886385
3.0999999,3.8751519
3.5,3.397433
5.0500002,3.9907022
3.652174,4.3885665
1.1304348,3.8071923
3.9130435,3.3129611
3.1481481,3.7310102
1.7777778,4.0200777
1.8333334,2.5613167
5.8888888,5.3396239
8.6499996,5.4876738
4.4347825,4.9288282
4.3888888,5.541863
4.4583335,4.870203
1.6666666,6.9993644
5.75,6.6050715
11.85,7.2703557
2.75,5.2330532
2.7894738,2.2524531
1.3214285,2.9076831
.90909094,1.4824851
2.8636363,3.3546057
1.6842105,2.0629644
7.652174,3.7987316
.15000001,.26128456
4.125,2.8581553
4.4375,4.342792
3.8125,5.3768148
4.8421054,4.7589345
7,5.9867134
7.4705882,6.3257694
4.3684211,3.246067
3.1904762,4.7234502
3.4705882,5.7959409
2.3,2.9644158
8.0526314,7.5121641
2.4736843,2.8536711
8.4210529,6.4448986
2.1428571,5.9395952
7.0952382,6.8315129
13.722222,12.121657
10.714286,8.9588728
2.5238094,5.1163187
12,8.4638901
7.5555553,
9.25,7.0244308
3.75,5.3662457
4.6666665,3.3093727
4.6111112,5.0999217
4.1176472,2.9214232
3,2.1073046
5.909091,2.7457213
1.5263158,1.6257915
3,3.1478415
3.4000001,3.5922186
4.125,4.2459998
3.3125,8.3723459
2.8636363,3.5691159
2.5882354,2.272779
.78947371,1.3339415
3.1818182,3.6497269
3.5882354,4.6772389
3.5,6.1783791
3.3529413,4.1682754
2,3.2044892
4.4666667,2.0913422
2.4375,4.8308592
2.4736843,4.3333945
.095238097,2.2706645
2.2608695,4.0763383
3.3,4.6647844
7,5.2067919
1.7826087,4.1205707
4.5714288,4.0109301
2.72,4.5480037
2.6111112,4.3092718
3.1500001,4.0605335
5.1999998,5.9414034
5.3157897,5.7542424
7.1500001,5.3730688
6.6666665,5.4770379
6,5.0019908
2.7391305,5.1355515
3.2592592,4.241343
4.352941,6.2969322
4.7222223,4.2207103
.75,3.7779658
2.8,3.4802704
4.3000002,5.6904874
2.6842105,5.3139143
4.6999998,5.2909498
6.8571429,4.1462488
1.2857143,4.8475032
4.4761906,3.1864812
2.3529413,3.4811761
3.0454545,4.0043564
2.8571429,3.9274068
1.9375,1.5155362
3.5,5.1387534
4.0526314,5.201129
6.1875,9.8292685
10.55,9.0372286
8.043478,8.3302479
7.1052632,7.578239
4.5238094,5.5066924
3,3.3129921
7.818182,5.677886
3.2777777,4.8997245
4,2.296277
1.9130435,3.4377911
5.3333335,6.7071133
1.1578947,3.9673197
5.1428571,3.5533562
3.4761906,3.1942463
5.3636365,
5.8421054,
2.3043478,
6.125,
7.4736843,
4.2105265,
2.1363637,
4.6999998,
.71428573,
1.8333334,
4.5999999,
3.3571429,
2.4705882,
5.9473686,
4.3157897,
2.5999999,
.8888889,
5.8421054,
.64999998,
4.7647057,
3.4375,
7.9545455,
3.2222223,
2.3913043,
5.5882354,
.37037036,
4.0999999,
6.0588236,
6.318182,
3.125,
3,
3.909091,
4.1999998,
2.6875,
6.8571429,
5.6315789,
3.2666667,
16.277779,
5.2916665,
1.7222222,
6.3157897,
2.6666667,
2.2727273,
3.4000001,
0,
